formula,A,B1,B2,X,prediction,real data,error
Cs2MnBr3,Cs,Mn,Mn,Br,-2.469537985,1.2909,3.760437985
Cs2GeI3,Cs,Ge,Ge,I,-0.477671042,1.53,2.007671042
Cs2GeBr3,Cs,Ge,Ge,Br,0.131980412,2.32,2.188019588
Cs2GeCl3,Cs,Ge,Ge,Cl,0.566777433,3.67,3.103222567
Cs2CdBr3,Cs,Cd,Cd,Br,1.139924837,0.6968,0.443124837
Cs2CdCl3,Cs,Cd,Cd,Cl,1.435142088,1.7462,0.311057912
Cs2PbI3,Cs,Pb,Pb,I,1.657054655,1.73,0.072945345
Cs2VBr3,Cs,V,V,Br,1.66133095,0.6528,1.00853095
Cs2PbBr3,Cs,Pb,Pb,Br,2.126907933,2.3,0.173092067
Cs2VCl3,Cs,V,V,Cl,2.327654234,0.4835,1.844154234
Cs2NiCl3,Cs,Ni,Ni,Cl,2.390700192,0.8182,1.572500192
Cs2PbCl3,Cs,Pb,Pb,Cl,2.458161912,3,0.541838088
Cs2CdF3,Cs,Cd,Cd,F,2.603277176,3.2859,0.682622824
Cs2MgBr3,Cs,Mg,Mg,Br,3.146875276,4.0445,0.897624724
Cs2PbF3,Cs,Pb,Pb,F,3.777485539,2.9248,0.852685539
Cs2NiF3,Cs,Ni,Ni,F,4.249265958,5.3618,1.112534042
Cs2CaBr3,Cs,Ca,Ca,Br,4.553428048,4.3924,0.161028048
Cs2CaF3,Cs,Ca,Ca,F,8.245834552,6.8955,1.350334552
