"formula","A","B1","B2","X","prediction","real data","error"
"Cs2CaF3","Cs","Ca","Ca","F","9.066871352019007","6.8955","2.1713713520190066"
"Cs2CaBr3","Cs","Ca","Ca","Br","4.727048917621687","4.3924","0.3346489176216867"
"Cs2CdF3","Cs","Cd","Cd","F","3.121345087759437","3.2859","0.16455491224056296"
"Cs2CdCl3","Cs","Cd","Cd","Cl","1.3365011714377033","1.7462","0.40969882856229667"
"Cs2CdBr3","Cs","Cd","Cd","Br","0.8842922929006818","0.6968","0.1874922929006818"
"Cs2GeCl3","Cs","Ge","Ge","Cl","1.0662874015638408","3.67","2.603712598436159"
"Cs2GeI3","Cs","Ge","Ge","I","0.762065664805732","1.53","0.767934335194268"
"Cs2GeBr3","Cs","Ge","Ge","Br","0.9445714401299483","2.32","1.3754285598700515"
"Cs2MgBr3","Cs","Mg","Mg","Br","2.98103549197549","4.0445","1.0634645080245102"
"Cs2MnBr3","Cs","Mn","Mn","Br","-2.422550146818594","1.2909","3.7134501468185936"
"Cs2NiF3","Cs","Ni","Ni","F","2.2480077714535582","5.3618","3.1137922285464414"
"Cs2NiCl3","Cs","Ni","Ni","Cl","1.8812893984581933","0.8182","1.0630893984581933"
"Cs2PbF3","Cs","Pb","Pb","F","4.373174633654344","2.9248","1.448374633654344"
"Cs2PbCl3","Cs","Pb","Pb","Cl","2.523347351542725","3.0","0.47665264845727506"
"Cs2PbI3","Cs","Pb","Pb","I","1.3939906164191598","1.73","0.3360093835808402"
"Cs2PbBr3","Cs","Pb","Pb","Br","2.0569198620714815","2.3","0.24308013792851835"
"Cs2VCl3","Cs","V","V","Cl","2.1808072165031263","0.4835","1.6973072165031262"
"Cs2VBr3","Cs","V","V","Br","1.5471595851868187","0.6528","0.8943595851868187"
